دری,صنف اول,تعلیمات اسلامی,درس بیست چهارم,سوره فاتحه جلسه 40,https://www.youtube.com/embed/LJFCi0Y3Cro
دری,صنف اول,تعلیمات اسلامی,درس بیست چهارم,سوره فاتحه جلسه 41,https://www.youtube.com/embed/AgN-wpcEdOM
دری,صنف اول,تعلیمات اسلامی,درس بیست هشتم,سوره اخلاص جلسه 43,https://www.youtube.com/embed/2EqBK42gVbg
دری,صنف اول,تعلیمات اسلامی,درس بیست هشتم,سوره اخلاص جلسه 44,https://www.youtube.com/embed/fe4fJzaJcCI
دری,صنف اول,تعلیمات اسلامی,درس بیست نهم,سوره الفلق جلسه 45,https://www.youtube.com/embed/jqNYLyXwc-g
دری,صنف اول,تعلیمات اسلامی,درس بیست نهم,سوره الفلق جلسه 46,https://www.youtube.com/embed/4GOYRSDvw3k
دری,صنف اول,تعلیمات اسلامی,درس سی ام,سوره الفاتحه جلسه 42,https://www.youtube.com/embed/iGOU94AVaWg
دری,صنف اول,تعلیمات اسلامی,درس سی ام,سوره الناص جلسه 47,https://www.youtube.com/embed/839NdRofaG0
دری,صنف اول,تعلیمات اسلامی,درس سی ام,سوره الناس جلسه 48,https://www.youtube.com/embed/IHqgEQkj6lg
دری,صنف اول,تعلیمات اسلامی,درس سی سوم,الله جلسه 49,https://www.youtube.com/embed/tvXPXUJ98AE
دری,صنف اول,تعلیمات اسلامی,درس سی سوم,الله جلسه 50,https://www.youtube.com/embed/kG29tch_L4Y
دری,صنف اول,تعلیمات اسلامی,درس سی چهارم,پیغمبر ما جلسه 51,https://www.youtube.com/embed/yzGXQQcCLnc
دری,صنف اول,تعلیمات اسلامی,درس سی چهارم,پیغمبر ما جلسه 52,https://www.youtube.com/embed/QuyI6cLE9q4
دری,صنف اول,تعلیمات اسلامی,درس سی پنجم,کلیمه طیبه جلسه 53,https://www.youtube.com/embed/DlzwtLx6LDk
دری,صنف اول,تعلیمات اسلامی,درس سی پنجم,کلیمه طیبه جلسه 54,https://www.youtube.com/embed/h9y5RlKUMCQ
دری,صنف اول,تعلیمات اسلامی,درس سی ششم,کتاب ما قرانکریم جلسه 55,https://www.youtube.com/embed/pOiakzCGPIM
دری,صنف اول,تعلیمات اسلامی,درس سی ششم,کتاب ما قرانکریم جلسه 56,https://www.youtube.com/embed/huDeQNCRXBc"
